time,episode,total_frames,epsilon,highest_reward,mean_rewards,mean_loss,estimating_reward,reward_exponent
0:00:00.344155,0,164.0,1.000,1.0,1.0,nan,True,1.0
0:00:04.377538,10,2104.0,1.000,4.0,1.6,nan,True,1.0
0:00:08.321138,20,3993.0,1.000,4.0,1.5,nan,True,1.0
0:00:12.037837,30,5783.0,1.000,4.0,1.3,nan,True,1.0
0:00:16.132914,40,7743.0,1.000,7.0,1.8,nan,True,1.0
0:00:20.591967,50,9891.0,1.000,7.0,2.0,nan,True,1.0
0:00:24.227951,60,11640.0,1.000,7.0,1.1,nan,True,1.0
0:00:28.459554,70,13676.0,1.000,7.0,1.9,nan,True,1.0
0:00:32.585038,80,15628.0,1.000,7.0,1.6,nan,True,1.0
0:00:36.312349,90,17420.0,1.000,7.0,1.4,nan,True,1.0
0:00:39.877340,100,19130.0,1.000,7.0,1.0,nan,True,1.0
0:00:43.262058,110,20757.0,1.000,7.0,1.0,nan,True,1.0
0:00:46.954982,120,22531.0,1.000,7.0,1.1,nan,True,1.0
0:00:50.812045,130,24378.0,1.000,7.0,1.3,nan,True,1.0
0:00:53.771644,140,25786.0,1.000,7.0,0.3,nan,True,1.0
0:00:57.563694,150,27606.0,1.000,7.0,1.4,nan,True,1.0
0:01:01.245375,160,29379.0,1.000,7.0,1.3,nan,True,1.0
0:01:05.265334,170,31301.0,1.000,7.0,1.5,nan,True,1.0
0:01:09.081870,180,33128.0,1.000,7.0,1.2,nan,True,1.0
0:01:12.564732,190,34793.0,1.000,7.0,0.9,nan,True,1.0
0:01:16.193566,200,36521.0,1.000,7.0,0.9,nan,True,1.0
0:01:19.613925,210,38160.0,1.000,7.0,1.0,nan,True,1.0
0:01:23.410040,220,39976.0,1.000,7.0,1.3,nan,True,1.0
0:01:26.360282,230,41379.0,1.000,7.0,0.3,nan,True,1.0
0:01:29.888092,240,43053.0,1.000,7.0,1.1,nan,True,1.0
0:01:33.361226,250,44717.0,1.000,7.0,0.9,nan,True,1.0
0:01:36.844416,260,46385.0,1.000,7.0,1.0,nan,True,1.0
0:01:40.183123,270,47985.0,1.000,7.0,0.8,nan,True,1.0
0:01:43.480308,280,49561.0,1.000,7.0,0.7,nan,True,1.0
0:02:06.794058,290,51143.0,0.989,7.0,0.7,0.27057,True,1.0
0:02:37.725467,300,52794.0,0.972,7.0,0.9,0.23380,True,1.0
0:03:08.868877,310,54405.0,0.956,7.0,0.8,0.20696,True,1.0
0:03:49.982492,320,56550.0,0.935,7.0,2.2,0.17196,True,1.0
0:04:22.805284,330,58265.0,0.917,7.0,1.0,0.15375,True,1.0
