time,episode,total_frames,epsilon,highest_reward,mean_rewards,mean_loss,estimating_reward,reward_exponent
0:00:00.410456,0,212.0,1.000,200.0,200.0,nan,True,1.0
0:00:05.222323,10,2714.0,1.000,350.0,215.0,nan,True,1.0
0:00:10.002013,20,5212.0,1.000,550.0,260.0,nan,True,1.0
0:00:15.128135,30,7879.0,1.000,550.0,240.0,nan,True,1.0
0:00:19.618041,40,10201.0,1.000,550.0,210.0,nan,True,1.0
0:00:24.819434,50,12865.0,1.000,750.0,250.0,nan,True,1.0
0:00:29.806070,60,15437.0,1.000,750.0,290.0,nan,True,1.0
0:00:34.557538,70,17919.0,1.000,750.0,245.0,nan,True,1.0
0:00:39.442821,80,20461.0,1.000,750.0,255.0,nan,True,1.0
0:00:45.232231,90,23478.0,1.000,750.0,380.0,nan,True,1.0
0:00:50.158585,100,26040.0,1.000,750.0,255.0,nan,True,1.0
0:00:54.468687,110,28285.0,1.000,750.0,160.0,nan,True,1.0
0:00:59.285071,120,30790.0,1.000,750.0,295.0,nan,True,1.0
0:01:04.062166,130,33277.0,1.000,750.0,240.0,nan,True,1.0
0:01:08.584832,140,35612.0,1.000,750.0,225.0,nan,True,1.0
0:01:13.626036,150,38248.0,1.000,750.0,235.0,nan,True,1.0
0:01:18.206487,160,40634.0,1.000,750.0,215.0,nan,True,1.0
0:01:23.561080,170,43421.0,1.000,750.0,285.0,nan,True,1.0
0:01:28.087773,180,45777.0,1.000,750.0,225.0,nan,True,1.0
0:01:33.165134,190,48426.0,1.000,750.0,270.0,nan,True,1.0
0:00:00.446204,0,231.0,1.000,250.0,250.0,nan,True,1.0
0:00:05.313286,10,2762.0,1.000,450.0,235.0,nan,True,1.0
0:00:10.737105,20,5509.0,1.000,500.0,275.0,nan,True,1.0
0:00:15.623760,30,8060.0,1.000,500.0,245.0,nan,True,1.0
0:00:20.463008,40,10556.0,1.000,500.0,235.0,nan,True,1.0
0:00:25.517991,50,13189.0,1.000,500.0,235.0,nan,True,1.0
0:00:30.165798,60,15615.0,1.000,600.0,260.0,nan,True,1.0
0:00:35.053433,70,18168.0,1.000,600.0,255.0,nan,True,1.0
0:00:39.815964,80,20656.0,1.000,600.0,255.0,nan,True,1.0
0:00:45.001647,90,23364.0,1.000,750.0,260.0,nan,True,1.0
0:00:49.901613,100,25880.0,1.000,750.0,240.0,nan,True,1.0
0:00:56.324103,110,29227.0,1.000,850.0,400.0,nan,True,1.0
0:01:01.279622,120,31819.0,1.000,850.0,305.0,nan,True,1.0
0:01:05.796535,130,34171.0,1.000,850.0,215.0,nan,True,1.0
0:01:10.429895,140,36563.0,1.000,850.0,245.0,nan,True,1.0
0:01:15.143804,150,39024.0,1.000,850.0,205.0,nan,True,1.0
0:01:19.857235,160,41452.0,1.000,850.0,240.0,nan,True,1.0
0:01:24.834758,170,44025.0,1.000,850.0,275.0,nan,True,1.0
0:01:30.500844,180,46989.0,1.000,850.0,350.0,nan,True,1.0
0:01:35.620439,190,49664.0,1.000,850.0,230.0,nan,True,1.0
0:02:24.641081,200,52519.0,0.975,850.0,295.0,4.11813,True,1.0
0:03:14.184226,210,55110.0,0.949,850.0,235.0,4.02660,True,1.0
0:04:13.528493,220,58196.0,0.918,850.0,335.0,3.10399,True,1.0
0:05:00.584343,230,60584.0,0.894,850.0,245.0,2.90318,True,1.0
0:05:48.304495,240,63044.0,0.870,850.0,220.0,2.77327,True,1.0
0:06:38.045643,250,65579.0,0.844,850.0,235.0,2.83189,True,1.0
0:07:35.739833,260,68482.0,0.815,850.0,290.0,2.65207,True,1.0
