time,episode,total_frames,epsilon,highest_reward,mean_rewards,mean_loss,estimating_reward,reward_exponent
0:00:00.379704,0,176.0,1.000,1.0,1.0,nan,True,1.0
0:00:03.741169,10,1749.0,1.000,3.0,0.7,nan,True,1.0
0:00:07.368661,20,3475.0,1.000,3.0,1.0,nan,True,1.0
0:00:10.581866,30,5005.0,1.000,3.0,0.5,nan,True,1.0
0:00:14.201736,40,6694.0,1.000,3.0,1.0,nan,True,1.0
0:00:18.678394,50,8792.0,1.000,4.0,2.1,nan,True,1.0
0:00:22.345576,60,10501.0,1.000,4.0,1.1,nan,True,1.0
0:00:25.809238,70,12090.0,1.000,4.0,0.9,nan,True,1.0
0:00:29.237515,80,13725.0,1.000,4.0,0.8,nan,True,1.0
0:00:32.672385,90,15363.0,1.000,4.0,0.8,nan,True,1.0
0:00:36.739073,100,17310.0,1.000,4.0,1.5,nan,True,1.0
0:00:40.166893,110,18944.0,1.000,4.0,0.8,nan,True,1.0
0:00:44.000460,120,20775.0,1.000,4.0,1.5,nan,True,1.0
0:00:47.608130,130,22497.0,1.000,4.0,1.1,nan,True,1.0
0:00:51.140632,140,24183.0,1.000,4.0,0.9,nan,True,1.0
0:00:54.288427,150,25677.0,1.000,4.0,0.5,nan,True,1.0
0:00:58.249758,160,27571.0,1.000,5.0,1.4,nan,True,1.0
0:01:01.999406,170,29363.0,1.000,5.0,1.4,nan,True,1.0
0:01:05.876840,180,31217.0,1.000,5.0,1.4,nan,True,1.0
0:01:09.418066,190,32908.0,1.000,5.0,1.0,nan,True,1.0
0:01:12.993695,200,34615.0,1.000,5.0,1.0,nan,True,1.0
0:01:16.570613,210,36314.0,1.000,5.0,1.0,nan,True,1.0
0:01:21.077389,220,38475.0,1.000,5.0,2.3,nan,True,1.0
0:01:24.700850,230,40197.0,1.000,5.0,0.9,nan,True,1.0
0:01:28.226120,240,41877.0,1.000,5.0,0.9,nan,True,1.0
0:01:31.938239,250,43654.0,1.000,5.0,1.2,nan,True,1.0
0:01:35.728753,260,45461.0,1.000,7.0,1.5,nan,True,1.0
0:01:40.075335,270,47545.0,1.000,10.0,2.3,nan,True,1.0
0:01:43.805375,280,49325.0,1.000,10.0,1.3,nan,True,1.0
0:02:05.076101,290,50970.0,0.990,10.0,1.0,0.12699,True,1.0
