time,episode,total_frames,epsilon,highest_reward,mean_rewards,mean_loss,estimating_reward,reward_exponent
0:00:00.296136,0,134.0,1.000,0,0.0,nan,True,1.0
0:00:03.651667,10,1716.0,1.000,2.0,0.8,nan,True,1.0
0:00:07.092709,20,3342.0,1.000,3.0,0.8,nan,True,1.0
0:00:10.443562,30,4921.0,1.000,3.0,0.6,nan,True,1.0
0:00:13.689130,40,6443.0,1.000,3.0,0.5,nan,True,1.0
0:00:16.801348,50,7889.0,1.000,3.0,0.2,nan,True,1.0
0:00:20.238933,60,9517.0,1.000,5.0,0.9,nan,True,1.0
0:00:23.931901,70,11252.0,1.000,5.0,1.2,nan,True,1.0
0:00:27.254164,80,12823.0,1.000,5.0,0.8,nan,True,1.0
0:00:30.455486,90,14329.0,1.000,5.0,0.5,nan,True,1.0
0:00:34.176745,100,16076.0,1.000,5.0,1.0,nan,True,1.0
0:00:37.508735,110,17638.0,1.000,5.0,0.6,nan,True,1.0
0:00:41.387745,120,19482.0,1.000,5.0,1.4,nan,True,1.0
0:00:44.742405,130,21072.0,1.000,5.0,0.7,nan,True,1.0
0:00:48.260149,140,22739.0,1.000,5.0,0.9,nan,True,1.0
0:00:51.836117,150,24431.0,1.000,5.0,0.9,nan,True,1.0
0:00:55.360390,160,26099.0,1.000,5.0,0.9,nan,True,1.0
0:00:59.256327,170,27941.0,1.000,9.0,1.7,nan,True,1.0
0:01:03.223836,180,29809.0,1.000,9.0,1.5,nan,True,1.0
0:01:06.769278,190,31486.0,1.000,9.0,1.1,nan,True,1.0
0:01:10.483954,200,33238.0,1.000,9.0,1.1,nan,True,1.0
0:01:14.258210,210,35019.0,1.000,9.0,1.2,nan,True,1.0
0:01:18.176481,220,36871.0,1.000,9.0,1.6,nan,True,1.0
0:01:21.419233,230,38403.0,1.000,9.0,0.8,nan,True,1.0
0:01:25.344903,240,40252.0,1.000,9.0,1.4,nan,True,1.0
0:01:29.194131,250,42041.0,1.000,9.0,1.2,nan,True,1.0
0:01:32.914778,260,43803.0,1.000,9.0,1.2,nan,True,1.0
0:01:36.468317,270,45476.0,1.000,9.0,1.0,nan,True,1.0
0:01:40.480256,280,47350.0,1.000,9.0,1.4,nan,True,1.0
0:01:44.079862,290,49059.0,1.000,9.0,1.1,nan,True,1.0
0:02:02.774475,300,50792.0,0.992,9.0,1.0,0.19446,True,1.0
0:02:35.045802,310,52474.0,0.975,9.0,1.1,0.18590,True,1.0
0:03:05.139255,320,54038.0,0.960,9.0,0.7,0.17775,True,1.0
0:03:35.568255,330,55610.0,0.944,9.0,0.8,0.16886,True,1.0
0:04:13.023026,340,57510.0,0.925,9.0,1.3,0.14075,True,1.0
0:04:51.430539,350,59469.0,0.905,9.0,1.7,0.13286,True,1.0
0:05:33.121356,360,61551.0,0.885,9.0,2.0,0.14987,True,1.0
0:06:16.265432,370,63723.0,0.863,9.0,2.0,0.16932,True,1.0
0:06:54.821205,380,65624.0,0.844,9.0,1.7,0.12441,True,1.0
0:07:30.061224,390,67357.0,0.826,9.0,1.2,0.14452,True,1.0
0:08:10.611640,400,69338.0,0.807,9.0,1.8,0.13442,True,1.0
0:08:49.734076,410,71244.0,0.788,9.0,1.8,0.16387,True,1.2785714285714285
0:09:43.915660,420,73841.0,0.762,9.0,3.4,0.13636,True,1.5571428571428572
