time,episode,total_frames,epsilon,highest_reward,mean_rewards,mean_loss,estimating_reward,reward_exponent
0:00:00.284216,0,132.0,1.000,0,0.0,nan,True,1.0
0:00:04.560309,10,2151.0,1.000,4.0,1.8,nan,True,1.0
0:00:08.428763,20,3971.0,1.000,4.0,1.4,nan,True,1.0
0:00:11.666019,30,5493.0,1.000,4.0,0.6,nan,True,1.0
0:00:15.116441,40,7116.0,1.000,5.0,0.9,nan,True,1.0
0:00:18.651883,50,8783.0,1.000,5.0,0.8,nan,True,1.0
0:00:22.772827,60,10728.0,1.000,5.0,1.6,nan,True,1.0
0:00:26.286745,70,12385.0,1.000,5.0,1.0,nan,True,1.0
0:00:30.406594,80,14332.0,1.000,5.0,1.6,nan,True,1.0
0:00:34.232753,90,16138.0,1.000,5.0,1.3,nan,True,1.0
0:00:38.492519,100,18147.0,1.000,5.0,1.8,nan,True,1.0
0:00:42.131621,110,19868.0,1.000,6.0,1.1,nan,True,1.0
0:00:45.845323,120,21625.0,1.000,6.0,1.2,nan,True,1.0
0:00:49.663756,130,23428.0,1.000,6.0,1.1,nan,True,1.0
0:00:52.912089,140,24956.0,1.000,6.0,0.6,nan,True,1.0
0:00:57.032338,150,26910.0,1.000,6.0,1.6,nan,True,1.0
0:01:01.027708,160,28801.0,1.000,6.0,1.5,nan,True,1.0
0:01:04.321065,170,30343.0,1.000,6.0,0.6,nan,True,1.0
0:01:07.662490,180,31905.0,1.000,6.0,0.8,nan,True,1.0
0:01:10.924427,190,33428.0,1.000,6.0,0.6,nan,True,1.0
0:01:14.944586,200,35328.0,1.000,6.0,1.3,nan,True,1.0
0:01:18.564717,210,37039.0,1.000,6.0,1.0,nan,True,1.0
0:01:22.424521,220,38846.0,1.000,6.0,1.2,nan,True,1.0
0:01:26.025160,230,40543.0,1.000,6.0,1.0,nan,True,1.0
0:01:29.760042,240,42284.0,1.000,6.0,1.1,nan,True,1.0
0:01:33.743836,250,44166.0,1.000,6.0,1.4,nan,True,1.0
0:01:37.466917,260,45927.0,1.000,6.0,1.1,nan,True,1.0
0:01:40.930714,270,47557.0,1.000,6.0,0.7,nan,True,1.0
0:01:44.489319,280,49242.0,1.000,6.0,0.9,nan,True,1.0
0:02:07.515517,290,51055.0,0.989,6.0,1.2,0.09166,True,1.0
0:02:41.073709,300,52794.0,0.972,6.0,1.1,0.07000,True,1.0
0:03:18.064891,310,54712.0,0.953,6.0,1.5,0.04133,True,1.0
0:03:50.178860,320,56352.0,0.936,6.0,1.0,0.04200,True,1.0
0:04:31.882994,330,58420.0,0.916,6.0,1.7,0.02907,True,1.0
0:05:13.582251,340,60519.0,0.895,7.0,2.5,0.04484,True,1.0
0:05:58.239621,350,62792.0,0.872,7.0,2.5,0.03490,True,1.0
0:06:36.911030,360,64735.0,0.853,7.0,1.8,0.05153,True,1.0
0:07:14.493647,370,66609.0,0.834,7.0,1.5,0.04170,True,1.0
0:07:56.275953,380,68690.0,0.813,7.0,2.2,0.06691,True,1.0
0:08:42.749929,390,70962.0,0.790,7.0,2.4,0.08110,True,1.0
0:09:28.643803,400,73196.0,0.768,7.0,2.4,0.07885,True,1.0
0:10:18.476756,410,75600.0,0.744,7.0,3.0,0.07787,True,1.2785714285714285
0:11:04.592789,420,77833.0,0.722,7.0,2.5,0.07317,True,1.5571428571428572
0:11:48.633761,430,79944.0,0.701,8.0,2.6,0.06935,True,1.8357142857142859
0:12:38.953562,440,82373.0,0.676,10.0,3.9,0.06696,True,2.1142857142857143
0:13:29.381412,450,84756.0,0.652,11.0,4.6,0.08488,True,2.392857142857143
0:14:38.040119,460,87893.0,0.621,11.0,4.5,0.06001,True,2.6714285714285717
0:15:35.831512,470,90593.0,0.594,11.0,4.0,0.06033,True,2.95
0:16:40.300091,480,93548.0,0.565,11.0,4.8,0.05803,True,3.2285714285714286
0:17:36.523340,490,96145.0,0.539,11.0,4.4,0.08254,True,3.507142857142857
0:18:36.003843,500,98853.0,0.511,12.0,4.5,0.07235,True,3.7857142857142856
